code,path,label,lastUpdate,lastModified,dataStart,dataEnd,count
road_eqr_busmot,Transport > Database by themes,"New motor coaches, buses and trolley buses by type of motor energy",2025-12-15,2025-07-29,2013,2024,4413
road_eqr_bussea,Transport > Database by themes,"Seat capacity of new motor coaches, buses and trolley buses",2025-12-12,2025-07-29,1989,2024,446
road_eqr_trams,Transport > Database by themes,New trams,2026-03-12,2025-10-31,2013,2024,134
road_eqr_lormot,Transport > Database by themes,"New lorries, by type of motor energy",2025-12-15,2025-07-29,2013,2024,8884
road_eqr_lorrit,Transport > Database by themes,New lorries and their load capacity by permissible maximum gross weight,2025-12-12,2025-07-29,2012,2024,3298
road_eqr_spurp,Transport > Database by themes,New special purpose road vehicles,2025-12-12,2025-07-29,2008,2024,475
road_eqr_tracmot,Transport > Database by themes,New road tractors by type of motor energy,2025-12-15,2025-07-29,2013,2024,3967
road_eqr_semit,Transport > Database by themes,"New semi-trailers and their load capacity, by permissible maximum gross weight",2025-12-12,2025-07-29,2012,2024,2012
road_eqr_trail,Transport > Database by themes,"New trailers and their load capacity, by permissible maximum gross weight",2025-12-12,2025-07-29,2012,2024,2413
road_eqr_zev,Transport > Database by themes,New zero-emission vehicles by type of vehicle and type of motor energy,2025-12-12,2025-07-29,2013,2024,10228
road_tf_vehmov,Transport > Database by themes,Road motor vehicle traffic performance by traffic and registration location and type of vehicle,2025-12-17,2025-12-12,2008,2024,1732
road_tf_veh,Transport > Database by themes,"Road traffic performance by category of vehicle registration and traffic, type of vehicle and motor energy",2025-12-17,2025-12-12,2011,2024,6777
road_tf_road,Transport > Database by themes,National road traffic performance by type of vehicle and type of road,2025-12-17,2025-12-12,2011,2024,3961
road_tf_vehage,Transport > Database by themes,"Road traffic performance on national and foreign territory by age of vehicle, type of vehicle and motor energy",2025-12-17,2025-12-12,2013,2024,20615
road_tf_buscoa,Transport > Database by themes,Buses and coaches traffic performance registered in the reporting country by transport covarage,2025-12-12,2025-12-12,2012,2024,1217
road_pa_mov,Transport > Database by themes,National passenger road transport performance by type of vehicles registered in the reporting country,2025-12-12,2025-12-12,1970,2024,2220
road_pa_buscoa,Transport > Database by themes,Passenger transport performance of buses and coaches registered in the reporting country by transport coverage,2025-12-12,2025-12-12,2012,2024,2902
tran_sf_railac,Transport > Database by themes,Rail accidents by type of accident,2026-01-13,2025-12-15,2006,2024,4103
tran_sf_railvi,Transport > Database by themes,Rail accidents victims by type of accident and category of persons involved,2026-01-13,2025-12-15,2006,2024,50603
tran_sf_raildg,Transport > Database by themes,Rail accidents involving the transport of dangerous goods,2026-01-13,2025-12-15,2006,2024,1457
tran_sf_railsu,Transport > Database by themes,Suicides involving railways,2026-01-13,2025-12-15,2006,2024,548
tran_sf_roadus,Transport > Database by themes,"Persons killed in road accidents by age, sex and category of persons involved",2026-01-13,2025-11-04,1999,2024,141005
tran_sf_roadro,Transport > Database by themes,Persons killed in road accidents by type of road,2026-01-13,2025-11-04,1999,2024,3891
tran_sf_roadve,Transport > Database by themes,Persons killed in road accidents by type of vehicle,2026-01-13,2025-11-04,1999,2024,21212
tran_sf_roadnu,Transport > Database by themes,Road accidents by NUTS 3 region,2026-02-17,2025-11-14,1999,2024,53206
tran_sf_aviaac,Transport > Database by themes,"Air accidents by type of aircraft operation, country of occurrence and country of registration of aircraft",2025-10-15,2025-11-28,2014,2024,297144
