strike,forward,maturity,moneyness,moneyness_ttm,ttm,implied_vol,price,price_bp,forward_price,type,side,open_interest,volume
62000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.1274316779385981,-0.4212448507494075,0.09151359007091742,0.5690634267833168,0.0215,215.0,1514.164375,put,ask,1199.7,72725.93
63000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.11143133659215704,-0.3683532816242738,0.09151359007091742,0.5487476301657174,0.0235,235.0,1655.016875,put,bid,467.9,113395.82
63000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.11143133659215704,-0.3683532816242738,0.09151359007091742,0.5597123358852806,0.0245,245.0,1725.443125,put,ask,467.9,113395.82
64000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.0956829796240178,-0.316294685301084,0.09151359007091742,0.541723486256757,0.027,270.0,1901.50875,put,bid,386.6,59832.93
64000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.0956829796240178,-0.316294685301084,0.09151359007091742,0.5468863780669124,0.0275,275.0,1936.721875,put,ask,386.6,59832.93
65000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.0801787930880526,-0.26504323158891857,0.09151359007091742,0.5357476627847683,0.031,310.0,2183.21375,put,bid,2675.5,65383.14
65000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.0801787930880526,-0.26504323158891857,0.09151359007091742,0.5406322970526409,0.0315,315.0,2218.426875,put,ask,2675.5,65383.14
66000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.06491132095726411,-0.21457427345314306,0.09151359007091742,0.5257770735984488,0.035,350.0,2464.91875,put,bid,611.9,23476.84
66000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.06491132095726411,-0.21457427345314306,0.09151359007091742,0.5350962336963951,0.036,360.0,2535.345,put,ask,611.9,23476.84
67000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.04987344359272366,-0.164864275841199,0.09151359007091742,0.5210478921367077,0.04,400.0,2817.05,put,bid,1454.9,13151.69
67000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.04987344359272366,-0.164864275841199,0.09151359007091742,0.5255256622494071,0.0405,405.0,2852.263125,put,ask,1454.9,13151.69
68000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.03505835780758296,-0.11589074978115348,0.09151359007091742,0.5121357749907189,0.045,450.0,3169.18125,put,bid,1646.1,14366.34
68000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.03505835780758296,-0.11589074978115348,0.09151359007091742,0.5208097742255112,0.046,460.0,3239.6075,put,ask,1646.1,14366.34
69000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.020459558386430335,-0.06763219129111193,0.09151359007091742,0.5076861449915013,0.051,510.0,3591.73875,put,bid,462.9,53610.49
69000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.020459558386430335,-0.06763219129111193,0.09151359007091742,0.5161561219091485,0.052,520.0,3662.165,put,ask,462.9,53610.49
70000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.00607082093433067,-0.020068024684103403,0.09151359007091742,0.5031313092142781,0.0575,575.0,4049.509375,put,bid,1618.8,26377.71
70000.0,70426.25,2026-04-24T08:00:00.000+00:00,-0.00607082093433067,-0.020068024684103403,0.09151359007091742,0.5114735706283985,0.0585,585.0,4119.935625,put,ask,1618.8,26377.71
71000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.008113814057625707,0.02682145010567838,0.09151359007091742,0.4996351203363759,0.0565,565.0,3979.083125,call,bid,1043.9,23324.79
71000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.008113814057625707,0.02682145010567838,0.09151359007091742,0.5079233479874122,0.0575,575.0,4049.509375,call,ask,1043.9,23324.79
72000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.02210005603236565,0.07305510651278667,0.09151359007091742,0.4963967933005878,0.05,500.0,3521.3125,call,bid,3467.6,185993.87
72000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.02210005603236565,0.07305510651278667,0.09151359007091742,0.5047033066145591,0.051,510.0,3591.73875,call,ask,3467.6,185993.87
73000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.03589337816470152,0.11865103695148024,0.09151359007091742,0.4930236752687202,0.044,440.0,3098.755,call,bid,967.3,3282.49
73000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.03589337816470152,0.11865103695148024,0.09151359007091742,0.5014211204165794,0.045,450.0,3169.18125,call,ask,967.3,3282.49
74000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.04949903022047999,0.16362659532360146,0.09151359007091742,0.49387303859072174,0.039,390.0,2746.62375,call,bid,1102.1,17707.65
74000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.04949903022047999,0.16362659532360146,0.09151359007091742,0.4981528234460169,0.0395,395.0,2781.836875,call,ask,1102.1,17707.65
75000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.06292205055262073,0.20799843667331205,0.09151359007091742,0.49061102037605736,0.034,340.0,2394.4925,call,bid,3148.1,28758.01
75000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.06292205055262073,0.20799843667331205,0.09151359007091742,0.4994061799564981,0.035,350.0,2464.91875,call,ask,3148.1,28758.01
